,0,1,2
0,应该,yīnggāi,"должно быть, should"
1,得,de,служебная частица
2,就,jiù,"уже, сразу"
3,成功,chénggōng,"успех, успешный"
4,袋,dài,пакет
5,炸,zhá,жаренный в масле / фри
6,土豆,tǔdòu,картофель
7,片,piàn,"пластинка, ломтик, chips"
8,盒,hé,коробка
9,花生,huāshēng,арахис
10,开心果,kāixīn guǒ,фисташки
11,爆米花,bào mǐhuā,попкорн
12,蛋糕,dàngāo,торт
13,巧克力,qiǎokèlì,шоколад
14,钱,qián,деньги
15,贵,guì,"дорогой, драгоценный"
16,卢布,lúbù,рубль
17,喝,hē,пить
18,瓶,píng,бутылка
19,果汁,guǒzhī,фруктовый сок
20,汽水,qìshuǐ,газировка
21,啤酒,píjiǔ,пиво
22,茶,chá,чай
23,咖啡,kāfēi,кофе
24,一般,yìbān,"обычно, как правило"
25,用,yòng,использовать/пользоваться
26,一共,yígòng,итого
27,花,huā,тратить (деньги / время)
28,戈比,gēbǐ,копейка
29,折合,zhéhé,конвертировать
30,人民币,rénmínbì,юани / RMB
31,算,suàn,считать
32,大概,dàgài,"примерно, приблизительно"
33,元,yuán,юань
34,块,kuài,кусок / юань
35,角,jiǎo,"цзяо, 1/10 юаня"
36,毛,máo,мао
37,相当于,xiāngdāng yú,соответствовать
38,等于,děngyú,равняться
39,分,fēn,"фэнь, 1/100 юаня"
40,转,zhuǎn,"перевести, перебросить"
41,钱财,qiáncái,"деньги, ценности, богатство"
42,算清,suànqīng,"подсчитать, подвести итог"
43,甜食,tiánshí,сладости
44,饼干,bǐnggān,печенье
45,水果,shuǐguǒ,фрукты
46,橘子,júzi,мандарин
47,葡萄,pú táo,виноград
48,干果,gān guǒ,сухофрукты
49,核桃,hétao,грецкий орех
50,葵花籽,kuíhuāzǐ,семечки подсолнуха
51,饮料,yǐnliào,напитки
52,可乐,kělè,Cola
53,橙汁,chéngzhī,апельсиновый сок
54,美元,měiyuán,американский доллар
55,欧元,ōuyuán,евро
56,日元,rìyuán,японская йена
57,人民币,rénmínbì,китайский юань (народные деньги)
58,港币,gǎngbì,гонконгский доллар
59,英币,yīng bì,английский фунт
60,零钱,língqián,"мелочь, размен"
61,国王,guówáng,"царь, правитель"
62,与,yǔ,(книжн.) союз и
63,棋盘,qípán,шахматная доска
64,古,gǔ,древний
65,印度,Yìndù,Индия
66,数学,shùxué,математика
67,西萨·班·达依尔,Xīsà Bān Dáyīěr,Сисса Бен (ибн) Дахир
68,发明,fāmíng,"изобретение, изобретать"
69,国际,guójì,международный
70,象棋,xiàngqí,"шахматы, китайские шахматы"
71,游戏,yóuxì,игра
72,舍罕 王,shěhǎn wáng,правитель Ширхам
73,奖赏,jiǎngshǎng,"наградить, награда"
74,对,duì,по отношению к…
75,一点(儿),yìdiǎn (r),немного
76,麦子,màizi,пшеница
77,又,yòu,"снова, опять"
78,张,zhāng,сч.сл. «плоскость» для плоских предметов
79,第,dì,служ.сл. для образования порядковых числит.
80,格子,gézi,"клетка, решетка"
81,里,lǐ,внутри (послелог)
82,放,fàng,"класть, ставить / отпускать, расслаблять"
83,粒,lì,"сч.сл. зерно, ядро, крупинка, гранула; капсула"
84,以后,yǐhòu,"далее (с какого-то момента), потом"
85,比,bǐ,"сравнивать (гл.), по сравнению с (предлог)"
86,倍,bèi,"раз, крат (= номинал+1)"
87,直,zhí,"прямо, непосредственно, без перерыва"
88,到,dào,"достигать, доходить, до.."
89,完,wán,закончить
90,开心,kāixīn,"радостный, радоваться"
91,觉得,juéde,"чувствовать, ощущать, кажется (кому), думать"
92,要求,yāoqiú,"требовать, просить, требование"
93,容易,róngyì,"просто, легко"
94,实现,shíxiàn,"реализовать, осуществить"
95,让,ràng,"приказывать, велеть, разрешать, позволять"
96,仆人,púrén,слуга
97,拿,ná,"носить в руке, держать в руке"
98,袋,dài,"сч. сл. мешок, сумка, пакет"
99,计数,jìshù,"подсчет, считать"
100,工作,gōngzuò,работа
101,开始,kāishǐ,начинать (ся)
102,内,nèi,"внутри, в пределах (послелог)"
103,空,kōng,пустой
104,车,chē,"телега, повозка, воз"
105,看出,kànchū,заметить
106,连…也,lián… yě,даже..
107,全,quán,"полный, целый"
108,够,gòu,"достаточно, хватит"
109,因为,yīnwèi,потому что
110,颗,kē,"сч. сл. гранула, крупинка"
111,京,jīng,"разряд, 10^16"
112,兆,zhào,"разряд, 10^12"
113,蒲式耳,púshì’ěr,бушель (ед. объема)
114,大概,dàgài,"примерно, приблизительно"
115,行,xíng,"хорошо, сойдет, достаточно"
116,差不多,chàbuduō,"почти, приблизительно"
117,世界,shìjiè,"мир, Вселенная"
118,所,suǒ,служ. слово для создания пассива
119,生产,shēngchǎn,производить
120,发现,fāxiàn,"обнаружить, открыть, открытие"
121,欠,qiàn,задолжать
122,笔,bǐ,"зд.: сч.сл. для счётов, торговых сделок и денежных сумм"
123,债,zhài,"долг, обязательство"
124,只,zhǐ,зд.: только лишь
125,办法,bànfǎ,"способ, метод"
126,忍受,rěnshòu,"терпеть, сносить"
127,没完没了,méiwán méiliǎo,"бесконечный, нескончаемый"
128,讨债,tǎozhài,взыскивать долг
129,砍掉,kǎndiào,отрубать
130,可能,kěnéng,"возможно, возможность"
131,选择,xuǎnzé,выбирать
132,后面,hòumian,"после, позади, последующий, дальнейший"
133,等比级数,děngbǐ jíshù,геометрическая прогрессия
134,级数,jíshù,числовой ряд
135,等比,děngbǐ,"пропорция, пропорциональный"
136,垓,gāi,10^20
137,秭,zǐ,10^24
138,穰,rǎng,10^28
