,0,1,2
0,正在,zhèng zài,"（副词）указывает на то, что действие происходит в данный момент (см. грамматический раздел)"
1,小吃,xiǎochī," закуска, перекус"
2,饮料,yǐnliào, напитки
3,因为,yīnwèi," потому что..; из-за того, что..; так как"
4,想,xiǎng," думать, хотеть, скучать"
5,请,qǐng," просить, пожалуйста"
6,全班,quánbān, весь класс
7,同学,tóngxué," одноклассник, студент"
8,参加,cānjiā," участвовать, принимать участие"
9,月,yuè, месяц
10,号,hào, число (месяца)
11,星期,xīngqī, неделя
12,告诉,gàosu, сказать (кому-л. что-л.)
13,生日,shēngrì, день рождения
14,打算,dǎsuan, планировать
15,举办,jǔbàn," организовывать, устраивать"
16,不好意思,bùhǎo yìsi,"прошу прощения, извините, неловко вышло"
17,晚会,wǎnhuì, вечеринка
18,怎么办?,zěnme bàn,Что делать?
19,没办法,méi bànfǎ,ничего не поделаешь
20,办,bàn, делать
21,喝,hē, пить
22,今年,jīnnián, этот год
23,岁,suì, “лет” сч. сл. для указания возраста
24,支,zhī,"“ветка” сч.сл. для предметов, похожих на палочки (ручки, кисти, свечки)"
25,蜡烛,làzhú, свеча (восковая)
26,礼物,lǐwù, подарок
27,宇航员,yǔhángyuán, космонавт
28,飞船,fēichuán, космический корабль
29,飞到,fēidào, долететь до..
30,飞,fēi, летать
31,太空,tàikōng, космос
32,进入,jìnrù," входить, проникать"
33,张,zhāng, сч. сл. для плоских предметов
34,飞往,fēiwǎng, лететь в направлении чего-л.
35,图片,túpiàn, картинка
36,周围,zhōuwéi, вокруг (послелог)
37,颗,kē," гранула, крупинка, зд.: сч.сл. для звезд и планет"
38,行星,xíngxīng, планета (“движущаяся звезда”)
39,恒星,héngxīng, звезда (“неподвижная звезда”)
40,棒,bàng,"（形容词） круто, классно"
41,加加林,Jiājiālín, Гагарин
42,水星,Shuǐxīng, Меркурий
43,金星,Jīnxīng, Венера
44,地球,Dìqiú, Земля
45,火星,Huǒxīng, Марс
46,木星,Mùxīng, Юпитер
47,土星,Tǔxīng, Сатурн
48,天王星,Tiānwángxīng, Уран
49,海王星,Hǎiwángxīng, Нептун
50,邀请,yāoqǐng, приглашать
51,日期,rìqī, дата
52,周,zhōu, неделя (письм.)
53,礼拜,lǐbài, неделя (разг.)
54,礼,lǐ," этикет, правила вежливости, ритуал"
55,拜,bài, приветствовать поклоном
56,圣诞节,shèngdànjié, Рождество
57,三八节,sānbājié, 8-е марта (三月八日)
58,五一节,wǔyījié, 1-е мая （五月一日)
59,宇宙,yǔzhòu," космос, Вселенная"
60,火箭,huǒjiàn," ракета, челнок (обычно для грузов)"
61,卫星,wèixīng, спутник (астр.)
62,卫,wèi," охранять, сторожить"
63,太阳系,tàiyángxì, Солнечная система
64,太阳,Tàiyáng, Солнце
65,月球,Yuèqiú, Луна
66,冥王星,Míngwángxīng, Плутон
67,天文学,tiānwénxué, астрономия
68,等,děng, ждать
69,呀,уа,(междометие) после гласных звуков употребляется вместо 啊
70,蛋糕,dàngāo, торт
71,干什么,gàn shénme,зачем? для чего?
72,干,gàn, делать
73,打扰,dǎrǎo," тревожить, беспокоить"
