,0,1,2
0,双生,shuāngshēng,Близнецы
1,超市,chāoshì,супермаркет
2,超,chāo,"превышать, превосходить, гипер-, super-"
3,市,shì (shìchǎng),рынок (городская площадь)
4,买,mǎi,покупать
5,一些,yīxiē,"несколько, немного"
6,东西,dōngxi,"предмет, вещь"
7,后天,hòutiān,послезавтра
8,联欢会,liánhuān huì,"встреча, вечеринка"
9,记得,jìde,помнить
10,可是,kěshì,"но, однако"
11,已经,yǐjīng,уже
12,个,ge,счетное слово (штука)
13,关,guān,закрывать
14,门,mén,дверь
15,但是,dànshì,"но, однако"
16,忙,máng,"занятой, загруженный"
17,商店,shāngdiàn,магазин
18,不但,búdàn,не только …
19,各种,gè zhǒng,"различный, разного рода"
20,零食,língshí,"закуска, перекус"
21,和,hé,союз и
22,饮料,yǐnliào,напиток
23,而且,érqiě,"к тому же, вдобавок"
24,包邮,bāo yóu,доставка включена в стоимость (бесплатная доставка)
25,一般,yìbān,"обычно, как правило"
26,实体,shítǐ,"материальный, осязаемый"
27,购物,gòuwù,делать покупки
28,简单,jiǎndān,"простой, элементарный"
29,用,yòng,"использовать, пользоваться"
30,谷歌,gǔgē,Google
31,浏览器,liúlǎn qì,браузер
32,搜索,sōusuǒ,"искать, поиск"
33,然后,ránhòu,"потом, затем, (англ. then/afterwards)"
34,后,hòu,"после, за, вслед за"
35,打开,dǎkāi,открывать
36,链接,liànjiē,"ссылка, Link"
37,挑选,tiāoxuǎn,выбирать
38,自己,zìjǐ,"сам, себя (возвр. мест.)"
39,喜欢,xǐhuan,"любить, нравиться, like"
40,商品,shāngpǐn,товар
41,选择,xuǎnzé,выбирать
42,付款,fùkuǎn,"платить, оплата"
43,方式,fāngshì,"способ, метод"
44,打,dǎ,"бить, ударять, make"
45,电话,diànhuà,телефон
46,打电话,dǎ diànhuà,звонить по телефону
47,帮助,bāngzhù,помогать
48,到,dào,"прибывать, добираться, приходить"
49,号码,hàomǎ,номер
50,多少,duōshǎo,сколько?
51,银行卡支付,yínháng kǎ zhīfù,оплата банковской картой
52,信用卡支付,xìnyòng kǎ zhīfù,оплата кредитной картой
53,营业时间,yíngyè shíjiān,business hours
54,特价,tèjià,"“специальная цена”, сниженная цена"
55,优惠,yōuhuì,скидка
56,订购,dìnggòu,заказывать
57,进口,jìnkǒu,импорт
58,出口,chūkǒu,экспорт
59,本,běn,"“корешок” (для книг, журналов, словарей)"
60,台,tái,“подставка/башня” (для оргтехники)
61,只,zhī,"сч. сл. для зверей, птиц, одного предмета из пары (один глаз, одна рука, одна тапочка), лодок."
62,支,zhī,"“ветка” сч.сл. для предметов, похожих на палочки (ручки, кисти)"
63,瓶,píng,бутылка
64,双,shuāng,"“пара” сч.сл. для предметов, составляющих пары (обувь, лыжи, перчатки…)"
65,食物,shíwù,"продукты питания, еда"
66,开心,kāixīn,"веселый, радостный"
67,挨饿,ái’è,"терпеть (испытывать) голод, голодать"
68,带,dài,"пояс, ремень; приносить, иметь при себе"
69,牛奶,niúnǎi,молоко (коровье)
70,猫粮,māoliáng,кошачий корм
71,这些,zhèxiē,эти
72,便宜,piányí,"удобный, выгодный, дешевый"
73,上床,shàngchuáng,ложиться в кровать
74,大家,dàjiā,все
75,网上购物,wǎng shàng gòuwù,онлайн шоппинг
76,购物,gòuwù,делать покупки
77,网购,wǎnggòu,"покупка через Интернет, покупать через Интернет"
78,简单,jiǎndān,"простой, примитивный"
79,安全,ānquán,"безопасность, безопасный"
80,因为,yīnwèi,"по причине..., потому что..."
81,自己,zìjǐ,"сам, себя, собственный"
82,选择,xuǎnzé,"выбор, выбирать"
83,支付,zhīfù,"платить, уплачивать"
84,货到付款,huòdào fùkuǎn,оплата после доставки
85,货到,huòdào,прибытие груза
86,付款,fùkuǎn,"производить платеж, оплачивать"
87,方法,fāngfǎ,метод
88,方便,fāngbiàn,удобный
89,经常,jīngcháng,"ежедневный, повседневный, часто"
90,犯,fàn,"совершать (преступление, ошибку), нарушать (правила)"
91,比如,bǐrú,например
92,总是,zǒngshì,"всегда, постоянно"
93,挑选,tiāoxuǎn,выбирать
94,后来,hòulái,"потом, в дальнейшем, впоследствии"
95,才,cái,"только, только что (выражает запоздалость по срав. с 就)"
96,购物车,gòuwùchē,"тележка, корзина для покупок"
97,车,chē,"телега, повозка, машина"
98,地方,dìfang,"место, местоположение"
99,点击,diǎnjī,"кликать, щелкать (мышкой)"
100,添加,tiānjiā,добавлять
101,出现在,chūxiàn zài,"появиться в, возникнуть в"
102,里,lǐ,"в, внутри"
103,取消,qǔxiāo,"аннулировать, отменить, отмена (кнопка)"
104,消失,xiāoshī,"исчезать, пропадать"
